미션항목,세부 설명,해시태그,EI,SN,TF,JP
분리수거 하기,그동안 밀린 쓰레기가 있나요? 차근차근 분리수거를 하면서 생각을 정리해보아요.,"단순하게, 시원하게",.,N,T,P
단 음식 먹기,"스트레스를 많이 받았을 때, 단 음식을 먹는 게 기분 전환에 도움이 된대요. 다만, 너무 많이 먹지는 말아요.","달달하게, 맛있게",.,.,F,P
가장 먹고 싶은 음식 먹기,오늘은 평소 가장 먹고 싶었던 음식을 먹어보는 건 어떨까요?,"맛있게, 신나게",.,.,F,P
그동안 사지 못했던 것 쇼핑하러 가기,"이별 때문에 아무것도 못 하고 있다면, 이제는 내가 필요한 것들을 구매해보며, 다시 일상을 회복해보아요.","신나게, 알차게",.,S,.,P
집에만 있지 않기,"집에만 있다보면, 기분이 삭막해질 수 있어요. 바깥에 나가서 기분을 환기시켜보아요.","신나게, 보람차게",E,.,.,P
친구들과 함께 수다떨기,"친구들과 함께 이야기하다보면, 친구들의 에너지를 얻을 수도 있을 거예요.","재밌게, 솔직하게",E,.,.,P
물건 정리하기,물건을 정리하면서 복잡했던 생각도 정리해보아요.,"깔씀하게, 시원하게",E,N,T,J
바쁘게 일하기,"바쁘게 일하다보면, 잡생각이 사라질 거예요.","바쁘게, 집중해서",.,N,T,J
내가 몰입할 수 있는 것 찾아 해보기,"몰입해서 무언가를 일하다보면, 잡생각이 사라질 거예요.","집중해서, 깔끔하게",.,N,T,J
집 청소하기,"이별한 상처가 너무 커서 청소를 못했는데, 집이 너무 더러워졌을 수 있어요. 이번 기회에 깔끔하게 청소도 하고 생각도 정리해보아요.","상쾌하게, 깔끔하게",.,N,T,J
감정을 진정시키기 위한 글쓰기,"글쓰기를 통해 나의 생각을 정리하고, 평소 누군가에게 이야기하지 못했던 진솔한 마음을 표현해봐요.","진솔하게, 진지하게",I,S,T,.
오늘의 명언을 일기장에 따라 적어보기.,"오늘의 명언이 인상깊으셨나요? 하루를 마무리할 때, 일기장에 따라 적어보아요.","깊이있게, 천천히",I,S,T,.
집중할 수 있는 일하기,"본인이 평소에 가장 집중할 수 있었던 일은 무엇인가요? 오늘은 그 일에 집중해보며, 기분을 전환해보는 건 어떨까요?","집중해서, 상쾌하게",.,N,T,.
이별의 아픔을 악기로 연주해보기,"이별 때문에 많이 힘드셨죠? 오늘은, 그 마음을 악기로 연주해보면서 위로해보는 건 어떨까요?","진중하게, 천천히",I,S,F,.
내가 평소에 좋아하는 음악 듣기,"이별 때문에 많이 힘드셨죠? 오늘은, 내가 좋아하는 음악을 들으면서 그 마음을 달래보는 건 어떨까요?","조용하게, 천천히",I,S,F,.
내 마음을 그림으로 표현하기,"이별 때문에 많이 힘드셨죠? 오늘은, 내가 좋아하는 음악을 들으면서 그 마음을 달래보는 건 어떨까요?","솔직하게, 진지하게",I,S,F,.
나의 마음을 달래줄 수 있는 음악 찾아 들어보기,"이별 때문에 많이 힘드셨죠? 오늘은, 나의 마음을 달래줄 수 있는 음악을 찾아보는 건 어떨까요?","진중하게, 천천히",I,S,F,.
꽃 향기 맡으러 가기,"오늘은, 꽃 향기를 맡으면서 기분을 전환해보아요.","향긋하게, 시원하게",I,S,F,.
오늘의 명언을 5초 동안 깊이 생각해보기,"오늘의 명언이 인상깊으셨나요? 그냥 지나치지 말고, 5초 동안 깊이 생각해보아요.","조용하게, 천천히",I,S,F,.
